1690992900000,29313.76000000,29316.77000000,29253.00000000,29262.50000000,448.52213000,1690993799999,13133386.01104880,7841,189.69667000,5554238.16218780,0
1690993800000,29262.50000000,29322.50000000,29238.09000000,29322.50000000,543.04982000,1690994699999,15901042.50799560,10186,291.48373000,8535927.66994330,0
1690994700000,29322.50000000,29364.00000000,28927.50000000,29025.91000000,3513.98635000,1690995599999,102131248.61087610,54891,1601.05920000,46521567.97184820,0
1690995600000,29025.91000000,29125.54000000,28969.71000000,29094.01000000,1389.26762000,1690996499999,40396226.12410770,25675,666.54059000,19381070.39929520,0
1690996500000,29094.01000000,29203.78000000,29080.00000000,29189.25000000,648.93585000,1690997399999,18925904.58363370,13928,346.14063000,10094395.60530830,0
1690997400000,29189.24000000,29254.00000000,29164.97000000,29189.14000000,543.66921000,1690998299999,15878437.58652520,13495,282.60889000,8253506.31210800,0
1690998300000,29189.15000000,29204.00000000,29116.72000000,29148.00000000,466.18210000,1690999199999,13593686.99376440,11187,225.32818000,6570758.93924780,0
1690999200000,29148.01000000,29160.00000000,29128.00000000,29139.44000000,306.55986000,1691000099999,8935070.30855380,7822,150.80913000,4395284.99327440,0
1691000100000,29139.44000000,29156.00000000,29084.50000000,29114.15000000,338.44947000,1691000999999,9854461.88279220,9180,142.06882000,4136323.45414580,0
1691001000000,29114.15000000,29121.23000000,29030.00000000,29116.12000000,599.48646000,1691001899999,17427767.72955810,12096,316.37291000,9197940.89801950,0
1691001900000,29116.12000000,29148.83000000,29088.73000000,29148.10000000,515.32474000,1691002799999,15002539.39635420,9746,284.37769000,8278755.97317080,0
1691002800000,29148.09000000,29164.22000000,29132.56000000,29155.35000000,303.97280000,1691003699999,8859913.50091330,6383,155.15576000,4522186.43168340,0
1691003700000,29155.36000000,29195.65000000,29154.00000000,29192.01000000,280.64774000,1691004599999,8188037.66957460,7171,156.40716000,4563170.06002750,0
1691004600000,29192.00000000,29209.15000000,29167.30000000,29204.00000000,346.25598000,1691005499999,10105773.16267710,7625,191.64883000,5593219.04757830,0
1691005500000,29204.01000000,29207.50000000,29141.51000000,29151.56000000,314.58945000,1691006399999,9178216.85053170,7654,125.99595000,3676117.66999730,0
1691006400000,29151.57000000,29154.00000000,29128.30000000,29143.79000000,171.66158000,1691007299999,5001948.34976270,5077,79.22858000,2308488.20848920,0
1691007300000,29143.80000000,29153.22000000,29106.34000000,29152.76000000,195.51407000,1691008199999,5695630.25885840,4618,95.06461000,2769736.94935310,0
1691008200000,29152.76000000,29161.49000000,29149.91000000,29152.50000000,125.31743000,1691009099999,3653574.22185510,3351,53.31140000,1554269.34088310,0
1691009100000,29152.51000000,29169.47000000,29132.12000000,29137.46000000,129.07714000,1691009999999,3762864.23666910,4118,61.78440000,1800978.47636570,0
1691010000000,29137.45000000,29137.46000000,29104.79000000,29104.79000000,135.27097000,1691010899999,3939075.34712740,4205,67.49436000,1965363.14344930,0
1691010900000,29104.80000000,29166.31000000,29066.35000000,29161.62000000,288.10510000,1691011799999,8385404.28356390,7360,171.53871000,4992551.81925710,0
1691011800000,29161.61000000,29190.93000000,29161.61000000,29188.90000000,150.73041000,1691012699999,4397495.06804550,4366,89.19076000,2601944.85868990,0
1691012700000,29188.90000000,29204.00000000,29179.55000000,29179.56000000,92.60208000,1691013599999,2703095.85156540,3633,23.82135000,695328.44930590,0
1691013600000,29179.56000000,29226.66000000,29167.71000000,29218.29000000,260.61948000,1691014499999,7610110.43866010,6066,139.17795000,4063783.12248540,0
1691014500000,29218.29000000,29233.06000000,29201.72000000,29226.42000000,168.21381000,1691015399999,4914797.07507920,4043,80.83361000,2361852.92046210,0
1691015400000,29226.42000000,29226.43000000,29199.39000000,29206.99000000,103.38432000,1691016299999,3019946.86373370,3243,39.90499000,1165464.14692990,0
1691016300000,29206.99000000,29207.00000000,29182.00000000,29186.00000000,98.44039000,1691017199999,2873337.63679890,3255,42.14881000,1230149.05779000,0
1691017200000,29186.00000000,29186.01000000,29167.93000000,29170.00000000,70.05465000,1691018099999,2043952.76726090,2952,19.25966000,561936.03647000,0
1691018100000,29170.01000000,29175.00000000,29140.15000000,29156.53000000,192.93497000,1691018999999,5625233.27502950,4613,89.53040000,2610334.25272540,0
1691019000000,29156.53000000,29165.58000000,29134.16000000,29165.57000000,86.02467000,1691019899999,2507343.55512220,3172,42.79865000,1247495.63684660,0
1691019900000,29165.57000000,29186.66000000,29151.71000000,29186.01000000,415.43579000,1691020799999,12118620.21237010,5121,246.47054000,7190422.37426710,0
1691020800000,29186.00000000,29186.01000000,29163.39000000,29165.92000000,305.04721000,1691021699999,8899764.42207000,5741,97.97873000,2858594.77301920,0
1691021700000,29165.91000000,29215.82000000,29164.26000000,29193.61000000,159.49304000,1691022599999,4655805.56422240,4548,90.08306000,2629102.66150070,0
1691022600000,29193.62000000,29225.01000000,29191.23000000,29197.01000000,131.05070000,1691023499999,3827783.55645510,4255,57.01267000,1665063.35418170,0
1691023500000,29197.01000000,29223.04000000,29170.68000000,29170.68000000,176.60452000,1691024399999,5156538.66443170,4545,62.58296000,1827193.10797360,0
